,0,1,2,3,4,5,6,7,8
122,            Support Analyst,"SimpleLTC Systems, LLC",NULL,Sponsored,"
            3 years of customer service experience. We are seeking a talented individual with a passion for customer service, an eye for detail, and a strong desire to…",NULL,NULL,"Richardson, TX",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C2wfulQF9oZ-ZSJ-mo6VmM85E0P1m_2aUOMOc6iABymjQSg37JanQ7nyDt986Xh8U4gYG9XNMzdcN5UxFUXdmAX6scBrXPeZ83UmgONsj6a2FLwZYKeXRmtQBFgvn0hRjDh4DkA0Kl686S50fM47iuzQ25Bp2ocqIpFdSHBBQPoG2TjBQEeh8Pwnedtr2uFm4BDPRBPi_01ejAQJpm7hhRFLqcvFMh2Pf9CKkAPtiQLCD3rZPwAvTBcRNj3knCvIyhh3A1xpMK1a0SA1aiQB1aC0ttkO7U1eBLoOvn0Kk8a5q1lyAIwyGWMDi0g47xE4eIQVOWnoop61BNHmJbj5ok15qinfvXqrQpSTQxzF3rCgMqN-YcRxCzVxMLOcKbDPh4GhBHvuYFGjHZxiVs965DsmHZ0ICt4rfY7GaTQwnCDHGpjFz5xs97&p=11&fvj=1&vjs=3
123,            ERP Database Analyst,AIT,3.6 out of 5 star rating,Sponsored,"
            Backup and restore data to prevent data loss. Minimum 5 years as DBA, 5 of which relate to supporting ERP (IFS) systems. Protect data from unauthorized access.",31 reviews,https://www.indeed.com//cmp/Ait/reviews?campaignid=cmplinktst2&amp;from=SERP&amp;jt=ERP+Database+Analyst&amp;fromjk=473b40d78e043701&amp;jcid=b1188e4b735bb3d5,"Plano, TX 75074",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B6fjK5d1wRNgGiOJZJqfGlQ3GriBivcAV2kCqWrkkso4uBn9PhIg1RufQDAaDJhoC1Zy2mQWu2ERLCBev_zvZZt16BxhOwYuRhUEfwo1_vmb5m4hamE8z-0Gr4WFmWFlOw-HFdV3W7PlJQB3Q-94Va8BhHlNeGjVu_U1VUHZhB9qsGj6l_wtKHKA4_bkPOl29yzSgyPZCLvtFZzwg8IZlX8V2CrLx5eZYLC279PrZg5XWAJfXHszV0nfNrMUe46PCcLZ3OhiIHPxYc9ZmaThQiKlTgT1NMx75-9GZXan566inrwH8NP4aBQ-GHQ23lLhstjyQxcWMvUs6rWlebQ5bfudQxKb2fI4-Hz4_0ynpkHSzbuZ-Yd4uoaqOkSzZf0L55AiOB19fABUcoMbDndIYFBTBFdp7k2_2pkhWuXjEB-ww4qRwA3B85ylvyBdHCZUQ=&p=12&fvj=1&vjs=3
124,            ERP Analyst,Allied Stone Inc.,3.1 out of 5 star rating,Sponsored,"
            Experience in provide information and data to management on an ad-hoc basis. Must be detail oriented with strong execution skills.",21 reviews,"https://www.indeed.com//cmp/Allied-Stone,-Inc./reviews?campaignid=cmplinktst2&amp;from=SERP&amp;jt=ERP+Analyst&amp;fromjk=9ddbff5ea86db80c&amp;jcid=ab9ef1f11166cf2c","Dallas, TX 75229 (Preston Hollow area)",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BbrXMPuVCiZRTtnWsYrF1LdlKHCZmSMTBTTD08b_OqD6nrSx0VRSVVp3_2YHV_e6t3czJUItEgJt9P5Rs964vuwvK78DZfVdm6Bz8IlFqUBoe_Ty1d7NfBUjzemLhMDyjKajcfUJl079n4qPrgAr_40gzffbQ4pdqA1sXb7ary9Dt990JEE-L-e1G89vLFVTQE5UhLHqobLoGHujQAXGlVso7hdchchrxgurhZiKLmEYC_iGLBCBY0b9SSZEnc7ocvdxVIlxbxWT1PKpYMh7ZHPacpWiOHqpWenzBaSmP7UA8Vj52ibdX2e2zA5I8oO6d_QBcLjCX9JsbIOMG1Dvya4mMbwYpkeiIq7t-8n2xxn9rwc5jErFaIJKGuKXUG1-hJ6VOwj_mCVSTuOXzg7V4pp2GaG6ffExE7365PaNFB0K5fIpUV5gkW&p=13&fvj=1&vjs=3
125,Data Visualization Analyst,MV Transportation,3.1 out of 5 star rating,Sponsored,"
            MV is looking for a Data Visualization Analyst to join our Data Science team. The ideal candidate will have demonstrated success as a Visualization Analyst and…","1,353 reviews",https://www.indeed.com//cmp/Mv-Transportation/reviews?campaignid=cmplinktst2&amp;from=SERP&amp;jt=Data+Visualization+Analyst&amp;fromjk=8eca2024a7678b52&amp;jcid=664e666343e1f3d9,"Dallas, TX",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DdVgMPPqVTZ3Zw7YleYjiHVuuqNtn4z__DRsBmcGhhf4Bl4Fr7VSVqmycQ5cv9mOACatk_MAPO_iWPp3AXN6aXvDFfwy8za48FZbjrKSV1o61LHDKMF1hwgkey2zniZ4oIlcvUF3AYg4yu7IVOjLdTWnmcDjWO3_4gsJbATfTiKPavLZi6Dg3t-B-ZdIM3YvajbZ2dNl-6KohRDrMVkqcwZhR2PfJ0ZNpbd1FSOp7jq-RFCKYLP78Qda-LMHAJH95SJgf1mBcQ3UBsatXxsjkPkYOyK-MnjNZW2eg79mPNXvngdrJDiuGkKhy5mooYm8P0Giy_XfVUrK7Vvy6c_4kXDOKcB2rCRLIRy09EZkhU11t4gvvNJwYEzDrUucosujvOxfj5w1wAx5WUps4_lVXO0jcpgGjB6kH7YFWEixj0_8wNi-8Rb57mEX7Mn4tdc74=&p=14&fvj=1&vjs=3
126,            Credit Analyst,Confidential Financial Services,NULL,Sponsored,"
            Pride in the work you submit, follow-through and attention to detail. Perform analysis surrounding financial reports, engineering data and legal documents in…",NULL,NULL,"Plano, TX",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ANpXsWCUlpGeivrKCUsTM3nXlFrJzqpVHpLiGvEMWNKEbvAV-1zSul__eeTwHQaRbCNtEBPMSs9vqaXowcvhWwWsI85L_EJ4khNpt555tU_36CIassM9czJDrHxQwq2u16ElUhP-TDoJSU8-0zKkKSZlo87P-q6MyXfp0puecB0q-g2lRMrvFH8eY3CUh_ZL2sjq-fS1FcETeZcfzuVWkmfQCE4IOzk_8WSc1dmNN3BIMp1-dw3pLgFqQ8a2Plt12ePqhA2v3342_pd21cSMH3nQbowV3kTdYdioaABanpbRX1i9dDqUn04wNIwougNNyeN_TORIIRutZyDOt6axFuBE4Zb7eiphapCcTljbaQoBqdSAEIFLtHTowcD_nDwf6ZZHRmgk9wWawwP3AO7lbfLeYYxrn8q6nCzWQvIjf8asFj1JYcqyP7&p=15&fvj=1&vjs=3
127,            ERP Database Analyst,AIT,3.6 out of 5 star rating,Sponsored,"
            Backup and restore data to prevent data loss. Minimum 5 years as DBA, 5 of which relate to supporting ERP (IFS) systems. Protect data from unauthorized access.",31 reviews,https://www.indeed.com//cmp/Ait/reviews?campaignid=cmplinktst2&amp;from=SERP&amp;jt=ERP+Database+Analyst&amp;fromjk=473b40d78e043701&amp;jcid=b1188e4b735bb3d5,"Plano, TX 75074",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B6fjK5d1wRNgGiOJZJqfGlQ3GriBivcAV2kCqWrkkso4uBn9PhIg1RufQDAaDJhoC1Zy2mQWu2ERLCBev_zvZZt16BxhOwYuRhUEfwo1_vmb5m4hamE8z-0Gr4WFmWFlOw-HFdV3W7PlJQB3Q-94VaNYUPLoaHMphnvcrcrgjFZZd9e7jMco5BU58nsM0U1bKzEXQrK7UzBMX3qnmyqic1GufvIkyRYqYeWR8WqT4j67-SJBiF4gELgMtBlwIdPHSQBI7vSUeNzhjdgkaOQO06aTKjbIlip4ZhvhAvlcdy2fUirYdeKW4ZEw3yZtuzbYVp_3udajwBwsou0LWm_QiWX7gRnPGgnVLiJxk4hPE5nBERizwGsBlBy_CBmZvFLsOn64y1f1KN-7RwWvag8gTQuRlwypb0CnahWl6CqHHsKAT_sQIgs_SwTKOgzqPdkJ8=&p=0&fvj=1&vjs=3
128,            DALLAS Campus Recruiting 2018 - I&D - Data Analyst,Capgemini,3.8 out of 5 star rating,save job - more...,"
            (Includes Data Modeler, Data Miner.). You are responsible for data related activities such as data extraction, profiling, cleansing, de-duplication,…","6,813 reviews",https://www.indeed.com//cmp/Capgemini/reviews?campaignid=cmplinktst2&amp;from=SERP&amp;jt=DALLAS+Campus+Recruiting+2018+-+I%26D+-+Data+Analyst&amp;fromjk=7280f7302072dd50&amp;jcid=105ecfd0283f415f,NULL,https://www.indeed.com/rc/clk?jk=7280f7302072dd50&fccid=105ecfd0283f415f&vjs=3
129,            Manufacturing Analyst,Kraft Heinz Company,3.7 out of 5 star rating,save job - more...,"
            Maintain and analyze data using Zarpac(OEE), SAP, Excel, and/or Minitab,. Computer literacy, teambuilding, multi-tasking, prioritizing, problem assessment/…","3,545 reviews",https://www.indeed.com//cmp/Kraft-Heinz-Company/reviews?campaignid=cmplinktst2&amp;from=SERP&amp;jt=Manufacturing+Analyst&amp;fromjk=c31e5a9f9c447ddd&amp;jcid=0a1b497eb6d33b47,NULL,https://www.indeed.com/rc/clk?jk=c31e5a9f9c447ddd&fccid=ef4be98af276034b&vjs=3
130,            Digital Data Analyst,Resideo,2.8 out of 5 star rating,save job - more...,"
            Implement data governance for marketing including the creation of data quality KPI’s, data integrity, data models, information architecture and data…",12 reviews,https://www.indeed.com//cmp/Resideo/reviews?campaignid=cmplinktst2&amp;from=SERP&amp;jt=Digital+Data+Analyst&amp;fromjk=dc829a762cd2663b&amp;jcid=0738a1c04862f651,NULL,https://www.indeed.com/rc/clk?jk=dc829a762cd2663b&fccid=14a428813ee7c1a1&vjs=3
131,            Coding Data Integrity Analyst,Christus Health,3.8 out of 5 star rating,save job - more...,"
            5.Assist with the overlay resolution errors and any complex data clean-up and/or other activities related to chart correction within EHRs.","1,744 reviews",https://www.indeed.com//cmp/Christus-Health/reviews?campaignid=cmplinktst2&amp;from=SERP&amp;jt=Coding+Data+Integrity+Analyst&amp;fromjk=39b19c652f4061ce&amp;jcid=ddf865993c86c6dd,NULL,https://www.indeed.com/rc/clk?jk=39b19c652f4061ce&fccid=ddf865993c86c6dd&vjs=3
