,Name,Link
83,Bucky Moonshine’s,https://m.yelp.com//biz/bucky-moonshines-dallas-2
84,Havana Cafe,https://m.yelp.com//biz/havana-cafe-dallas
85,Lucia,https://m.yelp.com//biz/lucia-dallas
86,Sixty Vines,https://m.yelp.com//biz/sixty-vines-dallas
87,The Honor Bar,https://m.yelp.com//biz/the-honor-bar-dallas
88,Cheesesteak House,https://m.yelp.com//biz/cheesesteak-house-dallas
89,Niwa Japanese BBQ,https://m.yelp.com//biz/niwa-japanese-bbq-dallas
90,Nazca Kitchen,https://m.yelp.com//biz/nazca-kitchen-dallas
91,Dallas Grilled Cheese Co,https://m.yelp.com//biz/dallas-grilled-cheese-co-dallas-3
92,Stock & Barrel,https://m.yelp.com//biz/stock-and-barrel-dallas
93,Cafe Izmir,https://m.yelp.com//biz/cafe-izmir-dallas
94,North Italia,https://m.yelp.com//biz/north-italia-dallas-4
95,Maya’s Modern Mediterranean,https://m.yelp.com//biz/mayas-modern-mediterranean-dallas-2
96,Pappadeaux Seafood Kitchen,https://m.yelp.com//biz/pappadeaux-seafood-kitchen-dallas
97,Elaine’s Kitchen,https://m.yelp.com//biz/elaines-kitchen-dallas
98,The Grape Restaurant,https://m.yelp.com//biz/the-grape-restaurant-dallas
99,The Biscuit Bar,https://m.yelp.com//biz/the-biscuit-bar-university-park
100,Goodfriend Beer Garden & Burger House,https://m.yelp.com//biz/goodfriend-beer-garden-and-burger-house-dallas
101,Perry’s Steakhouse & Grille - Uptown Dallas,https://m.yelp.com//biz/perrys-steakhouse-and-grille-uptown-dallas-dallas
102,Big Tony’s West Philly Cheesesteaks,https://m.yelp.com//biz/big-tonys-west-philly-cheesesteaks-dallas
103,Blatt Beer & Table,https://m.yelp.com//biz/blatt-beer-and-table-dallas-2
104,Blues Burgers,https://m.yelp.com//biz/blues-burgers-dallas
105,El Tacaso,https://m.yelp.com//biz/el-tacaso-dallas
106,El Come Taco,https://m.yelp.com//biz/el-come-taco-dallas
107,Grimaldi’s Pizzeria,https://m.yelp.com//biz/grimaldis-pizzeria-dallas-2
108,Shake Shack,https://m.yelp.com//biz/shake-shack-dallas
109,Hola Cafe Dallas,https://m.yelp.com//biz/hola-cafe-dallas-dallas-2
110,Twisted Root Burger,https://m.yelp.com//biz/twisted-root-burger-dallas
111,Cane Rosso,https://m.yelp.com//biz/cane-rosso-dallas
112,Nova,https://m.yelp.com//biz/nova-dallas
113,Royal China,https://m.yelp.com//biz/royal-china-dallas
114,El Palote Panaderia,https://m.yelp.com//biz/el-palote-panaderia-dallas
115,Rapscallion,https://m.yelp.com//biz/rapscallion-dallas
116,Town Hearth,https://m.yelp.com//biz/town-hearth-dallas
117,Mario Bros Tacos,https://m.yelp.com//biz/mario-bros-tacos-dallas
118,Nonna Restaurant,https://m.yelp.com//biz/nonna-restaurant-dallas
119,Water Grill - Dallas,https://m.yelp.com//biz/water-grill-dallas-dallas
120,Gabriela & Sofia’s Tex-Mex,https://m.yelp.com//biz/gabriela-and-sofias-tex-mex-dallas
121,Momo Shack Himalayan Dumplings,https://m.yelp.com//biz/momo-shack-himalayan-dumplings-dallas
122,Montlake Cut,https://m.yelp.com//biz/montlake-cut-dallas
123,Coco’s Fire & Ice,https://m.yelp.com//biz/coco-s-fire-and-ice-dallas
124,Velvet Taco,https://m.yelp.com//biz/velvet-taco-dallas
125,The Henry,https://m.yelp.com//biz/the-henry-dallas-2
126,Brickhouse Burgers and Shakes,https://m.yelp.com//biz/brickhouse-burgers-and-shakes-dallas
127,New York Eats,https://m.yelp.com//biz/new-york-eats-dallas-2
128,bartaco Preston,https://m.yelp.com//biz/bartaco-preston-dallas
129,Knife,https://m.yelp.com//biz/knife-dallas-2
130,Jack’s Kitchen,https://m.yelp.com//biz/jacks-kitchen-dallas-2
131,Original ChopShop,https://m.yelp.com//biz/original-chopshop-dallas-6
132,Ten Bells Tavern,https://m.yelp.com//biz/ten-bells-tavern-dallas
133,Corrientes 348 Argentinian Steakhouse,https://m.yelp.com//biz/corrientes-348-argentinian-steakhouse-dallas
134,Angry Dog,https://m.yelp.com//biz/angry-dog-dallas
